name,city,niche,rating,reviews,has_booking,severity,pain_points,signals
"Desert Lotus Med Spa","Scottsdale","Med Spa",3.6,8,"NO",75,"SEVERE: Rating below 3.8 | CRITICAL: Under 10 reviews | NEEDS: Online booking","Below average rating, No feedback generation, No digital booking"
"Broadway Beauty Lounge","Nashville","Med Spa",3.5,8,"NO",75,"SEVERE: Rating below 3.8 | CRITICAL: Under 10 reviews | NEEDS: Online booking","Below average rating, No feedback generation, No digital booking"
"Broadway Dental Group","Nashville","Dental",3.5,8,"NO",75,"SEVERE: Rating below 3.8 | CRITICAL: Under 10 reviews | NEEDS: Online booking","Below average rating, No feedback generation, No digital booking"
"Stellar Dental","Charlotte","Dental",3.5,8,"NO",75,"SEVERE: Rating below 3.8 | CRITICAL: Under 10 reviews | NEEDS: Online booking","Below average rating, No feedback generation, No digital booking"
"Beaux Medspa","Austin","Med Spa",3.5,12,"NO",65,"SEVERE: Rating below 3.8 | MODERATE: Under 25 reviews | NEEDS: Online booking","Below average rating, Low review volume, No digital booking"
"Cloud 9 Dental","Austin","Dental",3.5,10,"NO",65,"SEVERE: Rating below 3.8 | MODERATE: Under 25 reviews | NEEDS: Online booking","Below average rating, Low review volume, No digital booking"
"Fountain Hills Dental","Scottsdale","Dental",3.6,10,"NO",65,"SEVERE: Rating below 3.8 | MODERATE: Under 25 reviews | NEEDS: Online booking","Below average rating, Low review volume, No digital booking"
"Music City Aesthetics","Nashville","Med Spa",3.7,14,"NO",65,"SEVERE: Rating below 3.8 | MODERATE: Under 25 reviews | NEEDS: Online booking","Below average rating, Low review volume, No digital booking"
"Mile High Aesthetics","Denver","Med Spa",3.6,10,"NO",65,"SEVERE: Rating below 3.8 | MODERATE: Under 25 reviews | NEEDS: Online booking","Below average rating, Low review volume, No digital booking"
"LoDo Family Dental","Denver","Dental",3.6,12,"NO",65,"SEVERE: Rating below 3.8 | MODERATE: Under 25 reviews | NEEDS: Online booking","Below average rating, Low review volume, No digital booking"
