name,city,niche,rating,reviews,has_booking,severity,pain_points,signals
"Maid in Miami","Miami","Cleaning",3.4,8,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Dade Auto Repair","Miami","Auto Repair",3.2,8,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Broward Auto Care","Fort Lauderdale","Auto Repair",3.4,8,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"South Lamar Cleaners","Austin","Cleaning",3.4,6,"NO",100,"🔴 CRITICAL: Rating below 3.5 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Extremely low rating — customers actively unhappy | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Ultimate Fade Studio","Miami","Barber",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Fort Lauderdale Kids Dental","Fort Lauderdale","Dental",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Sparkling Home Services","Fort Lauderdale","Cleaning",3.5,6,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Tiny Smiles ATX","Austin","Dental",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Queen City Pediatric","Charlotte","Dental",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"South End Home Cleaners","Charlotte","Cleaning",3.5,6,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Mile High Pediatric","Denver","Dental",3.5,6,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Mile High Maids","Denver","Cleaning",3.5,8,"NO",90,"🟡 SEVERE: Rating below 3.8 | 🔴 CRITICAL: Under 10 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Virtually no customer feedback — not asking for reviews | No digital booking — customers can't schedule easily"
"Downtown Grooming Co","Miami","Barber",3.6,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Tiny Teeth Specialists","Miami","Dental",3.5,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Premium Home Cleaning Miami","Miami","Cleaning",3.6,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Little Havana Auto","Miami","Auto Repair",3.5,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Old School Fades","Fort Lauderdale","Barber",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Deep Clean Pros FTL","Fort Lauderdale","Cleaning",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"FTL Auto Works","Fort Lauderdale","Auto Repair",3.7,20,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Sunrise Auto Repair","Fort Lauderdale","Auto Repair",3.6,15,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"ATX Fade Lounge","Austin","Barber",3.7,12,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Premium Home Care ATX","Austin","Cleaning",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"North Austin Auto Pro","Austin","Auto Repair",3.5,18,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
"Plaza Midwood Cuts","Charlotte","Barber",3.6,10,"NO",80,"🟡 SEVERE: Rating below 3.8 | 🟡 MODERATE: Under 25 reviews | 🔵 NEEDS: Online booking | 💎 HIGH VALUE: Low rating + no booking + few reviews = CCM sweet spot","Below average rating — retention risk | Low feedback volume — missing review generation | No digital booking — customers can't schedule easily"
