business,city,niche,rating,reviews,has_booking,opportunity_score,priority,reason,signals,email,outreach
"Superior Auto Body Austin","Austin","Auto",3.8,210,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.8 — below average for Auto in Austin | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@superiorautobodyaust.com","Immediate DM + email"
"Austin Detailing Specialists","Austin","Auto",3.9,32,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.9 — below average for Auto in Austin | 32 reviews — moderate feedback | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@austindetailingspeci.com","Immediate DM + email"
"Texas French Bread","Austin","Bakery",3.9,45,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.9 — below average for Bakery in Austin | 45 reviews — moderate feedback | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","sweet@texasfrenchbread.com","Immediate DM + email"
"Radiant Yoga Austin","Austin","Yoga",3.8,28,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.8 — below average for Yoga in Austin | Only 28 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","flow@radiantyogaaustin.com","Immediate DM + email"
"Pride & Groom Scottsdale","Scottsdale","Pet",3.7,22,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.7 — below average for Pet in Scottsdale | Only 22 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","hello@pridegroomscottsdale.com","Immediate DM + email"
"Culvers Auto Body","Scottsdale","Auto",3.6,180,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.6 — below average for Auto in Scottsdale | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@culversautobody.com","Immediate DM + email"
"Sun Devil Auto Scottsdale","Scottsdale","Auto",3.9,68,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.9 — below average for Auto in Scottsdale | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@sundevilautoscottsda.com","Immediate DM + email"
"Scottdale Auto Repair","Scottsdale","Auto",3.5,120,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.5 — below average for Auto in Scottsdale | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@scottdaleautorepair.com","Immediate DM + email"
"The Bakery At Scottsdale","Scottsdale","Bakery",3.8,28,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.8 — below average for Bakery in Scottsdale | Only 28 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","sweet@thebakeryatscottsdal.com","Immediate DM + email"
"True Hot Yoga","Scottsdale","Yoga",3.9,45,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.9 — below average for Yoga in Scottsdale | 45 reviews — moderate feedback | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","flow@truehotyoga.com","Immediate DM + email"
"Pawsitively Groomed","Nashville","Pet",3.8,25,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.8 — below average for Pet in Nashville | Only 25 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","hello@pawsitivelygroomed.com","Immediate DM + email"
"Elite Auto Werks","Nashville","Auto",3.7,85,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.7 — below average for Auto in Nashville | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@eliteautowerks.com","Immediate DM + email"
"Music City Auto Repair","Nashville","Auto",3.4,210,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.4 — below average for Auto in Nashville | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@musiccityautorepair.com","Immediate DM + email"
"Ivey Cake Bakery","Nashville","Bakery",3.9,22,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.9 — below average for Bakery in Nashville | Only 22 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","sweet@iveycakebakery.com","Immediate DM + email"
"Yoga Tree Nashville","Nashville","Yoga",3.8,30,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.8 — below average for Yoga in Nashville | 30 reviews — moderate feedback | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","flow@yogatreenashville.com","Immediate DM + email"
"Paw Works Denver","Denver","Pet",3.9,28,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.9 — below average for Pet in Denver | Only 28 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","hello@pawworksdenver.com","Immediate DM + email"
"Denver Dog Grooming","Denver","Pet",3.6,42,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.6 — below average for Pet in Denver | 42 reviews — moderate feedback | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","hello@denverdoggrooming.com","Immediate DM + email"
"Exotic Motors Denver","Denver","Auto",3.8,120,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.8 — below average for Auto in Denver | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@exoticmotorsdenver.com","Immediate DM + email"
"Colorado Auto Repair","Denver","Auto",3.5,180,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.5 — below average for Auto in Denver | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@coloradoautorepair.com","Immediate DM + email"
"Elite Finish Auto","Denver","Auto",3.7,25,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.7 — below average for Auto in Denver | Only 25 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","info@elitefinishauto.com","Immediate DM + email"
"Samadhi Yoga","Denver","Yoga",3.9,35,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.9 — below average for Yoga in Denver | 35 reviews — moderate feedback | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","flow@samadhiyoga.com","Immediate DM + email"
"Paw Pleasers Grooming","Charlotte","Pet",3.6,18,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.6 — below average for Pet in Charlotte | Only 18 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","hello@pawpleasersgrooming.com","Immediate DM + email"
"Superior Auto Charlotte","Charlotte","Auto",3.8,150,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.8 — below average for Auto in Charlotte | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@superiorautocharlott.com","Immediate DM + email"
"AutoWerks Charlotte","Charlotte","Auto",3.5,85,NO,100,"🔵 HIGH","High opportunity: low rating + missing booking system","Rating 3.5 — below average for Auto in Charlotte | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity","info@autowerkscharlotte.com","Immediate DM + email"
"Villanis Gourmet Bakery","Charlotte","Bakery",3.8,28,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.8 — below average for Bakery in Charlotte | Only 28 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","sweet@villanisgourmetbaker.com","Immediate DM + email"
"Vibe Yoga Studio","Charlotte","Yoga",3.6,18,NO,100,"🔵 HIGH","High opportunity: low rating + low review volume","Rating 3.6 — below average for Yoga in Charlotte | Only 18 reviews — low feedback generation | No online booking — automation opportunity | Low rating + no booking = strong retention opportunity | Low rating + few reviews = needs review generation","flow@vibeyogastudio.com","Immediate DM + email"
"River Yoga Denver","Denver","Yoga",4.1,28,NO,95,"🔵 HIGH","Low review volume — likely not asking for reviews","Rating 4.1 — room for improvement | Only 28 reviews — low feedback generation | No online booking — automation opportunity","flow@riveryogadenver.com","Immediate DM + email"
"Echo Coffee","Scottsdale","Coffee",4.1,42,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 42 reviews — moderate feedback | No online booking — automation opportunity","brew@echocoffee.com","Immediate DM + email"
"JL Desserts","Scottsdale","Bakery",4.1,32,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 32 reviews — moderate feedback | No online booking — automation opportunity","sweet@jldesserts.com","Immediate DM + email"
"The Yoga Room","Scottsdale","Yoga",4.2,38,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | 38 reviews — moderate feedback | No online booking — automation opportunity","flow@theyogaroom.com","Immediate DM + email"
"Woofs Dog Grooming","Nashville","Pet",4.1,55,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 55 reviews — moderate feedback | No online booking — automation opportunity","hello@woofsdoggrooming.com","Immediate DM + email"
"Baked on 8th","Nashville","Bakery",4,38,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4 — room for improvement | 38 reviews — moderate feedback | No online booking — automation opportunity","sweet@bakedon8th.com","Immediate DM + email"
"Nashville Power Yoga","Nashville","Yoga",4.1,45,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 45 reviews — moderate feedback | No online booking — automation opportunity","flow@nashvillepoweryoga.com","Immediate DM + email"
"Aussie Pet Mobile Denver","Denver","Pet",4.1,35,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 35 reviews — moderate feedback | No online booking — automation opportunity","hello@aussiepetmobiledenve.com","Immediate DM + email"
"Grateful Bread Bakery","Denver","Bakery",4.1,55,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 55 reviews — moderate feedback | No online booking — automation opportunity","sweet@gratefulbreadbakery.com","Immediate DM + email"
"Woof Gang Bakery Charlotte","Charlotte","Pet",4.2,55,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | 55 reviews — moderate feedback | No online booking — automation opportunity","hello@woofgangbakerycharlo.com","Immediate DM + email"
"Queen City Grounds","Charlotte","Coffee",4.1,42,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 42 reviews — moderate feedback | No online booking — automation opportunity","brew@queencitygrounds.com","Immediate DM + email"
"Studio 108 Yoga","Charlotte","Yoga",4.1,35,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 35 reviews — moderate feedback | No online booking — automation opportunity","flow@studio108yoga.com","Immediate DM + email"
"Blue Lotus Yoga","Charlotte","Yoga",4.2,42,NO,85,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | 42 reviews — moderate feedback | No online booking — automation opportunity","flow@bluelotusyoga.com","Immediate DM + email"
"Bark Avenue Scottsdale","Scottsdale","Pet",4.2,65,NO,75,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | No online booking — automation opportunity","hello@barkavenuescottsdale.com","Immediate DM + email"
"Bongo Java","Nashville","Coffee",4.1,120,NO,75,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | No online booking — automation opportunity","brew@bongojava.com","Immediate DM + email"
"Sift Bake Shop","Nashville","Bakery",4.3,52,NO,75,"🔵 HIGH","No booking system — needs scheduling automation","52 reviews — moderate feedback | No online booking — automation opportunity","sweet@siftbakeshop.com","Immediate DM + email"
"Desserts By Helen","Denver","Bakery",4.3,42,NO,75,"🔵 HIGH","No booking system — needs scheduling automation","42 reviews — moderate feedback | No online booking — automation opportunity","sweet@dessertsbyhelen.com","Immediate DM + email"
"Suarez Bakery","Charlotte","Bakery",4.4,42,NO,75,"🔵 HIGH","No booking system — needs scheduling automation","42 reviews — moderate feedback | No online booking — automation opportunity","sweet@suarezbakery.com","Immediate DM + email"
"The Detail Shop Austin","Austin","Auto",4.2,45,YES,70,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | 45 reviews — moderate feedback","info@thedetailshopaustin.com","Immediate DM + email"
"Dharma Yoga Austin","Austin","Yoga",4.2,55,YES,70,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | 55 reviews — moderate feedback","flow@dharmayogaaustin.com","Immediate DM + email"
"The Detail Shop Nashville","Nashville","Auto",4.1,42,YES,70,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.1 — room for improvement | 42 reviews — moderate feedback","info@thedetailshopnashvil.com","Immediate DM + email"
"The Detailing Company","Denver","Auto",4.2,38,YES,70,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | 38 reviews — moderate feedback","info@thedetailingcompany.com","Immediate DM + email"
"The Detail Shop Charlotte","Charlotte","Auto",4.2,35,YES,70,"🔵 HIGH","Average rating — opportunity to differentiate","Rating 4.2 — room for improvement | 35 reviews — moderate feedback","info@thedetailshopcharlot.com","Immediate DM + email"
