Business,City,State,Niche,Rating,Priority,Email,Phone,Website,Has_Online_Booking,Notes
Cherry Medical,Denver,CO,Med Spa,4.9,HIGH,reception@cherrymedispa.com,,cherrymedispa.com,NO,"No booking needs automation. Top priority for CCM."
VIVE Med Spa,Denver,CO,Med Spa,4.9,HIGH,info@vivemedspadenver.com,,vivemedspadenver.com,NO,"No booking. Premium niche. Perfect CCM fit."
NakedMD Med Spa Denver,Denver,CO,Med Spa,4.9,HIGH,concierge@nakedmd.com,,nakedmd.com,NO,"National chain. Pitch multi-location retention."
Monaco MedSpa,Miami,FL,Med Spa,5.0,HIGH,officemanager@monacomedspa.com,,monacomedspa.com,NO,"5★ No booking. PERFECT CCM prospect."
Deluxe Med Spa Beauty,Miami,FL,Med Spa,4.9,HIGH,,,deluxemedspabeauty.com,NO,"No booking. Premium location. NEED EMAIL"
Brickell Cosmetic Center,Miami,FL,Med Spa,4.6,HIGH,,,brickellcosmetic.com,NO,"No booking + lower rating = big opportunity. NEED EMAIL"
Miami Modern Dental,Miami,FL,Dental,4.9,HIGH,,,miamimoderndental.com,NO,"No booking! Top-rated dental. NEED EMAIL"
Midtown Dental Miami,Miami,FL,Dental,4.3,HIGH,,,midtowndentalmiami.com,NO,"No booking + 4.3★ = massive opportunity. NEED EMAIL"
Rejuvenate MedSpa,Denver,CO,Med Spa,5.0,MEDIUM,,,rejuvenatemedspadenver.com,YES,"Has booking. Pitch retention layer."
RESTOR Medical Spa | Central Park,Denver,CO,Med Spa,4.9,MEDIUM,info@restormedicalspa.com,,restormedicalspa.com,YES,"Has booking. Pitch review automation."
The Denver Dentists,Denver,CO,Dental,4.4,MEDIUM,,(720) 821-7514,thedenverdentists.com,YES,"Needs real email. Phone available."
Downtown Denver Dental,Denver,CO,Dental,4.9,MEDIUM,,,downtowndenverdental.com,YES,"Top-rated. NEED EMAIL."
Icon Dental,Denver,CO,Dental,4.6,MEDIUM,,,icondentaldenver.com,YES,"NEED EMAIL."
Denver Place Dentistry,Denver,CO,Dental,4.8,MEDIUM,,,denverplacedentistry.com,YES,"NEED EMAIL."
38th Modern Dental,Denver,CO,Dental,4.8,MEDIUM,,,38thmoderndental.com,YES,"NEED EMAIL."
Med Aesthetics Miami,Miami,FL,Med Spa,4.8,MEDIUM,info@medaestheticsmiami.com,,medaestheticsmiami.com,YES,"Has booking. Upsell retention."
Arviv Medical Aesthetics Miami,Miami,FL,Med Spa,4.8,MEDIUM,,,arvivmedspa.com,YES,"Has booking. NEED EMAIL."
Super Dentist Miami,Miami,FL,Dental,4.9,MEDIUM,,,superdentistmiami.com,YES,"NEED EMAIL."
Relax and Smile Dental Care,Miami,FL,Dental,4.9,MEDIUM,,,relaxandsmiledental.com,YES,"NEED EMAIL."
Ultra Smile Miami,Miami,FL,Dental,4.8,MEDIUM,info@ultrasmilemiami.com,,ultrasmilemiami.com,YES,"Has email ready for outreach."
