id,business_name,city,website_domain,email
medspa-0001,Austin Med Spa,Austin,austinmedspa.com,
medspa-0002,South Congress Med Spa,Austin,southcongressmedspa.com,
medspa-0003,Lakeway Medical Aesthetics,Austin,lakewaymedicalaesthetics.com,
medspa-0004,Domain Medical Spa,Austin,domainmedicalspa.com,
medspa-0005,Westlake Dermatology,Austin,westlakedermatology.com,
medspa-0006,Sanova Dermatology,Austin,sanovadermatology.com,
medspa-0007,Botox Bar Austin,Austin,botoxbaraustin.com,
medspa-0008,Renu Med Spa,Austin,renumedspa.com,
medspa-0009,Glow Med Spa Austin,Austin,glowmedspaaustin.com,
medspa-0010,Austin Laser & Aesthetics,Austin,austinlaseraesthetics.com,
medspa-0011,Radiance Med Spa,Austin,radiancemedspa.com,
medspa-0012,Viva Day Spa + Med Spa,Austin,vivadayspamedspa.com,
medspa-0013,LaserLux Aesthetics,Austin,laserluxaesthetics.com,
medspa-0014,Pure Aesthetics Austin,Austin,pureaestheticsaustin.com,
medspa-0015,Revolution Med Spa,Austin,revolutionmedspa.com,
medspa-0016,Austin Skin Physicians,Austin,austinskinphysicians.com,
medspa-0017,ETHOS Aesthetics,Austin,ethosaesthetics.com,
medspa-0018,Bare Med Spa,Austin,baremedspa.com,
medspa-0019,Serenity Medical Spa Austin,Austin,serenitymedicalspaaustin.com,
medspa-0020,Rejuvenate Austin,Austin,rejuvenateaustin.com,
