Business,City,Niche,Rating,Total Reviews,Opportunity Score,Priority,Outreach Suggested,Complaint Signals,Social Link,GMB Link
"Austin Med Spa","Austin","Med Spa",3.8,47,90,"🔵 HIGH","Yes — recommended for thoughtful outreach","Rating 3.8 — may benefit from automated review generation | 2 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified |   ↳ Internal note only: feedba","https://www.instagram.com/austinmedspa/","https://maps.app.goo.gl/3fX1W9Z1fX1W9Z1fA"
"It's A Secret Med Spa - Austin","Austin","Med Spa",4.56695723685663,29,55,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (20%) — opportunity to engage with reviewers | Fewer reviews recentl","https://www.instagram.com/itsasecretmedspa/","https://maps.app.goo.gl/5hX3W9Z3fX3W9Z3fC"
"Metrolina Medical Associates","Charlotte","Med Spa",4.383711884075678,74,55,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (1%) — opportunity to engage with reviewers | Fewer reviews recently","https://www.instagram.com/metrolinamedical/","https://maps.app.goo.gl/0wX8W8Z8fX8W8Z8fR"
"SW Austin Dental","Austin","Dental",4.422849573787563,70,55,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (19%) — opportunity to engage with reviewers | Fewer reviews recentl","https://www.instagram.com/swaustindental/","https://maps.app.goo.gl/5bX3W3Z3fX3W3Z3fW"
"Pearl. Dentistry Reimagined","Charlotte","Dental",4.0151023021813534,30,55,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (3%) — opportunity to engage with reviewers | Fewer reviews recently","https://www.instagram.com/pearl_dentistry/","https://maps.app.goo.gl/4kX2W2Z2fX2W2Z2ff"
"Modmutt","Austin","Pet Grooming",4.95453788068518,63,55,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (14%) — opportunity to engage with reviewers | Fewer reviews recentl","https://www.instagram.com/modmuttatx/","https://maps.app.goo.gl/5vX3W3Z3fX3W3Z3fq"
"Lucky Dog Bark & Brew","Charlotte","Pet Grooming",4.7827085567849394,113,55,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (22%) — opportunity to engage with reviewers | Fewer reviews recentl","https://www.instagram.com/luckydogcharlotte/","https://maps.app.goo.gl/9zX7W7Z7fX7W7Z7fu"
"Skin Envy Austin- South","Austin","Med Spa",4.464166555489696,71,50,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (23%) — opportunity to engage with reviewers | Fewer reviews recentl","https://www.instagram.com/skinenvyaustin/","https://maps.app.goo.gl/7jX5W9Z5fX5W9Z5fE"
"Symmetria MedSpa","Austin","Med Spa",4.9550912797300155,117,50,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (16%) — opportunity to engage with reviewers | Fewer reviews recentl","https://www.instagram.com/symmetriamedspa/","https://maps.app.goo.gl/2oX0W0Z0fX0W0Z0fJ"
"Lineberger Dentistry","Charlotte","Dental",4.844835741148168,73,45,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (15%) — opportunity to engage with reviewers | 15 nearby competitors","https://www.instagram.com/linebergerdentistry/","https://maps.app.goo.gl/3jX1W1Z1fX1W1Z1fe"
"Muse Medspa","Austin","Med Spa",4.26420679675828,65,40,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (24%) — opportunity to engage with reviewers","https://www.instagram.com/musemedspa/","https://maps.app.goo.gl/6iX4W9Z4fX4W9Z4fD"
"Burrow & Welchel Orthodontics","Charlotte","Dental",4.493375351283951,86,40,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Fewer reviews recently — may indicate declining repeat visits","https://www.instagram.com/burrowwelchelortho/","https://maps.app.goo.gl/0qX8W8Z8fX8W8Z8fl"
"Stellar Dental","Charlotte","Dental",4.578380678154403,92,40,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Fewer reviews recently — may indicate declining repeat visits","https://www.instagram.com/stellardentalcharlotte/","https://maps.app.goo.gl/1rX9W9Z9fX9W9Z9fm"
"Dirty Dog","Austin","Pet Grooming",4.543814063101455,43,40,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (12%) — opportunity to engage with reviewers","https://www.instagram.com/dirtydogaustin/","https://maps.app.goo.gl/3tX1W1Z1fX1W1Z1fo"
"Bark n Purr","Austin","Pet Grooming",4.444262498147155,99,40,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | Low review reply rate (22%) — opportunity to engage with reviewers","https://www.instagram.com/barknpurratx/","https://maps.app.goo.gl/7xX5W5Z5fX5W5Z5fs"
"Formula Wellness","Austin","Med Spa",4.2,89,35,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | 15 nearby competitors — retention is key","https://www.instagram.com/formulawellness/","https://maps.app.goo.gl/4gX2W9Z2fX2W9Z2fB"
"Carolina Age Management Institute","Charlotte","Med Spa",4.674346584427013,69,35,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | 13 nearby competitors — retention is key","https://www.instagram.com/carolinaagemgmt/","https://maps.app.goo.gl/6sX4W4Z4fX4W4Z4fN"
"Enamel Dentistry","Austin","Dental",4.358778850568302,38,35,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | 13 nearby competitors — retention is key","https://www.instagram.com/enameldentistry/","https://maps.app.goo.gl/4aX2W2Z2fX2W2Z2fV"
"BridgeView Dental","Austin","Dental",4.142861108350608,20,35,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | 17 nearby competitors — retention is key","https://www.instagram.com/bridgeviewdental/","https://maps.app.goo.gl/9fX7W7Z7fX7W7Z7fa"
"Cloud 9 Dental","Austin","Dental",4.158832097962764,47,35,"🟡 MEDIUM","Yes — recommended for thoughtful outreach","1 recent review(s) mentioning communication/follow-up |   ↳ Internal note only: feedback pattern identified | 13 nearby competitors — retention is key","https://www.instagram.com/cloud9dental/","https://maps.app.goo.gl/1hX9W9Z9fX9W9Z9fc"
