id,email,business_type,detected_niche,clean_name,email_valid,created_at
mass-1780586161989-66602,contact@sharpplace-austin.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66603,contact@artisanhub-fukuoka.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66604,owner@classichub-osaka.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66605,hello@rusticbakeshop-calgary.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66606,owner@purewellness-tokyo.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66607,owner@sharpwellness-losangeles.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66610,contact@luxekitchen-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66611,contact@classicbeautybar-vancouver.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66613,info@sweetbakeshop-newyorkcity.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66614,owner@sweetboutique-sapporo.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66615,contact@radiantbeautybar-dallas.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66616,info@purebeautybar-austin.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66617,info@serenityhub-nagoya.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66618,owner@serenitykitchen-phoenix.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66619,hello@classicbeautybar-adelaide.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66620,hello@goldenboutique-austin.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66621,contact@radiantbakeshop-glasgow.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66622,contact@moderncorner-tokyo.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66624,contact@urbancorner-london.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66627,hello@radiantclinic-austin.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66629,info@serenityspot-adelaide.com,Cafe,Cafe,Cafe,YES,2026-06-04 15:16:02
mass-1780586161989-66630,owner@sharpplace-philadelphia.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66631,hello@radiantwellness-montreal.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66632,info@sharpspot-calgary.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66633,owner@serenityspot-nagoya.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66634,hello@purekitchen-montreal.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66636,contact@serenitykitchen-sanantonio.com,Bakery,Bakery,Bakery,YES,2026-06-04 15:16:02
mass-1780586161989-66637,hello@urbanplace-birmingham.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
mass-1780586161989-66638,info@eliteparlor-melbourne.com,Boutique,Boutique,Boutique,YES,2026-06-04 15:16:02
