priority_tier,business,city,niche,rating,reviews,has_booking,score,email,website_domain,website_status,instagram_handle,instagram_url,linkedin_url,dm_sequence_ready,notes
CRITICAL,Music City Auto Repair,Nashville,Auto,3.4,210,NO,100,info@musiccityautorepair.com,musiccityautorepair.com,LIVE (405),musiccityautorepair,https://instagram.com/musiccityautorepair,https://www.linkedin.com/company/music-city-auto-repair,YES_PRIORITY1,TOP PRIORITY. Rating 3.4. No booking system. Prepare Connection Guard DM sequence for Auto. Website: musiccityautorepair.com is LIVE.
SEVERE,Paw Pleasers Grooming,Charlotte,Pet,3.6,18,NO,100,hello@pawpleasersgrooming.com,pawpleasersgrooming.com,NO_DOMAIN,pawpleasersgrooming,paw_pleasers_grooming,https://www.linkedin.com/company/paw-pleasers-grooming,YES_PRIORITY2,High priority. Rating 3.6. Use Warm Hug DM script. Verify IG handle before DM (suggested: paw_pleasers_grooming). No website found at pawpleasersgrooming.com. Social-only outreach.
SEVERE,Vibe Yoga Studio,Charlotte,Yoga,3.6,18,NO,100,flow@vibeyogastudio.com,vibeyogastudio.com,LIVE (301),vibeyogastudio,vibe_yoga_studio,https://www.linkedin.com/company/vibe-yoga-studio,YES_PRIORITY2,High priority. Rating 3.6. Use Connection Gap DM script. Verify IG handle before DM (suggested: vibe_yoga_studio). Website: vibeyogastudio.com is LIVE.
SEVERE,Pride & Groom Scottsdale,Scottsdale,Pet,3.7,22,NO,100,hello@pridegroomscottsdale.com,pridegroomscottsdale.com,NO_DOMAIN,pridegroomscottsdale,pride_groom_scottsdale,https://www.linkedin.com/company/pride-and-groom-scottsdale,YES_PRIORITY2,High priority. Rating 3.7. Use Warm Hug DM script. Verify IG handle before DM (suggested: pride_groom_scottsdale). No website found at pridegroomscottsdale.com. Social-only outreach.
SEVERE,Elite Finish Auto,Denver,Auto,3.7,25,NO,100,info@elitefinishauto.com,elitefinishauto.com,NO_DOMAIN,elitefinishauto,elite_finish_auto,https://www.linkedin.com/company/elite-finish-auto,YES_PRIORITY2,High priority. Rating 3.7. Use Connection Guard DM script. Verify IG handle before DM (suggested: elite_finish_auto). No website found at elitefinishauto.com. Social-only outreach.
SEVERE,Culvers Auto Body,Scottsdale,Auto,3.6,180,NO,100,info@culversautobody.com,culversautobody.com,NO_DOMAIN,culversautobody,culvers_auto_body,https://www.linkedin.com/company/culvers-auto-body,YES_PRIORITY2,High priority. Rating 3.6. Use Connection Guard DM script. Verify IG handle before DM (suggested: culvers_auto_body). No website found at culversautobody.com. Social-only outreach.
SEVERE,Scottdale Auto Repair,Scottsdale,Auto,3.5,120,NO,100,info@scottdaleautorepair.com,scottdaleautorepair.com,NO_DOMAIN,scottdaleautorepair,scottdale_auto_repair,https://www.linkedin.com/company/scottdale-auto-repair,YES_PRIORITY2,High priority. Rating 3.5. Use Connection Guard DM script. Verify IG handle before DM (suggested: scottdale_auto_repair). No website found at scottdaleautorepair.com. Social-only outreach.
SEVERE,Elite Auto Werks,Nashville,Auto,3.7,85,NO,100,info@eliteautowerks.com,eliteautowerks.com,LIVE (200),eliteautowerks,elite_auto_werks,https://www.linkedin.com/company/elite-auto-werks,YES_PRIORITY2,High priority. Rating 3.7. Use Connection Guard DM script. Verify IG handle before DM (suggested: elite_auto_werks). Website: eliteautowerks.com is LIVE.
SEVERE,Denver Dog Grooming,Denver,Pet,3.6,42,NO,100,hello@denverdoggrooming.com,denverdoggrooming.com,LIVE (405),denverdoggrooming,denver_dog_grooming,https://www.linkedin.com/company/denver-dog-grooming,YES_PRIORITY2,High priority. Rating 3.6. Use Warm Hug DM script. Verify IG handle before DM (suggested: denver_dog_grooming). Website: denverdoggrooming.com is LIVE.
SEVERE,Colorado Auto Repair,Denver,Auto,3.5,180,NO,100,info@coloradoautorepair.com,coloradoautorepair.com,LIVE (200),coloradoautorepair,colorado_auto_repair,https://www.linkedin.com/company/colorado-auto-repair,YES_PRIORITY2,High priority. Rating 3.5. Use Connection Guard DM script. Verify IG handle before DM (suggested: colorado_auto_repair). Website: coloradoautorepair.com is LIVE.
SEVERE,AutoWerks Charlotte,Charlotte,Auto,3.5,85,NO,100,info@autowerkscharlotte.com,autowerkscharlotte.com,NO_DOMAIN,autowerkscharlotte,autowerks_charlotte,https://www.linkedin.com/company/autowerks-charlotte,YES_PRIORITY2,High priority. Rating 3.5. Use Connection Guard DM script. Verify IG handle before DM (suggested: autowerks_charlotte). No website found at autowerkscharlotte.com. Social-only outreach.
MODERATE,Austin Detailing Specialists,Austin,Auto,3.9,32,NO,100,info@austindetailingspeci.com,austindetailingspeci.com,UNCHECKED,austindetailingspecialists,https://instagram.com/austindetailingspecialists,https://www.linkedin.com/company/austin-detailing-specialists,NO,Lower priority. Rating 3.9. Queue for Wave 3. [AUSTIN - HIGH PRIORITY FOR FOUNDING MEMBER CONVERSION]
MODERATE,Radiant Yoga Austin,Austin,Yoga,3.8,28,NO,100,flow@radiantyogaaustin.com,radiantyogaaustin.com,NO_DOMAIN,radiantyogaaustin,https://instagram.com/radiantyogaaustin,https://www.linkedin.com/company/radiant-yoga-austin,NO,Lower priority. Rating 3.8. Queue for Wave 3. No website found at radiantyogaaustin.com. Social-only outreach. [AUSTIN - HIGH PRIORITY FOR FOUNDING MEMBER CONVERSION]
MODERATE,The Bakery At Scottsdale,Scottsdale,Bakery,3.8,28,NO,100,sweet@thebakeryatscottsdal.com,thebakeryatscottsdal.com,UNCHECKED,thebakeryatscottsdale,https://instagram.com/thebakeryatscottsdale,https://www.linkedin.com/company/the-bakery-at-scottsdale,NO,Lower priority. Rating 3.8. Queue for Wave 3.
MODERATE,Pawsitively Groomed,Nashville,Pet,3.8,25,NO,100,hello@pawsitivelygroomed.com,pawsitivelygroomed.com,UNCHECKED,pawsitivelygroomed,https://instagram.com/pawsitivelygroomed,https://www.linkedin.com/company/pawsitively-groomed,NO,Lower priority. Rating 3.8. Queue for Wave 3.
MODERATE,Ivey Cake Bakery,Nashville,Bakery,3.9,22,NO,100,sweet@iveycakebakery.com,iveycakebakery.com,UNCHECKED,iveycakebakery,https://instagram.com/iveycakebakery,https://www.linkedin.com/company/ivey-cake-bakery,NO,Lower priority. Rating 3.9. Queue for Wave 3.
MODERATE,Yoga Tree Nashville,Nashville,Yoga,3.8,30,NO,100,flow@yogatreenashville.com,yogatreenashville.com,UNCHECKED,yogatreenashville,https://instagram.com/yogatreenashville,https://www.linkedin.com/company/yoga-tree-nashville,NO,Lower priority. Rating 3.8. Queue for Wave 3.
MODERATE,Paw Works Denver,Denver,Pet,3.9,28,NO,100,hello@pawworksdenver.com,pawworksdenver.com,UNCHECKED,pawworksdenver,https://instagram.com/pawworksdenver,https://www.linkedin.com/company/paw-works-denver,NO,Lower priority. Rating 3.9. Queue for Wave 3.
MODERATE,Villanis Gourmet Bakery,Charlotte,Bakery,3.8,28,NO,100,sweet@villanisgourmetbaker.com,villanisgourmetbaker.com,UNCHECKED,villanisgourmetbakery,https://instagram.com/villanisgourmetbakery,https://www.linkedin.com/company/villanis-gourmet-bakery,NO,Lower priority. Rating 3.8. Queue for Wave 3.
MODERATE,Superior Auto Body Austin,Austin,Auto,3.8,210,NO,100,info@superiorautobodyaust.com,superiorautobodyaust.com,UNCHECKED,superiorautobodyaustin,https://instagram.com/superiorautobodyaustin,https://www.linkedin.com/company/superior-auto-body-austin,NO,Lower priority. Rating 3.8. Queue for Wave 3. [AUSTIN - HIGH PRIORITY FOR FOUNDING MEMBER CONVERSION]
MODERATE,Texas French Bread,Austin,Bakery,3.9,45,NO,100,sweet@texasfrenchbread.com,texasfrenchbread.com,LIVE (200),texasfrenchbread,https://instagram.com/texasfrenchbread,https://www.linkedin.com/company/texas-french-bread,NO,Lower priority. Rating 3.9. Queue for Wave 3. Website: texasfrenchbread.com is LIVE. [AUSTIN - HIGH PRIORITY FOR FOUNDING MEMBER CONVERSION]
MODERATE,Sun Devil Auto Scottsdale,Scottsdale,Auto,3.9,68,NO,100,info@sundevilautoscottsda.com,sundevilautoscottsda.com,UNCHECKED,sundevilautoscottsdale,https://instagram.com/sundevilautoscottsdale,https://www.linkedin.com/company/sun-devil-auto-scottsdale,NO,Lower priority. Rating 3.9. Queue for Wave 3.
MODERATE,True Hot Yoga,Scottsdale,Yoga,3.9,45,NO,100,flow@truehotyoga.com,truehotyoga.com,LIVE (301),truehotyoga,https://instagram.com/truehotyoga,https://www.linkedin.com/company/true-hot-yoga,NO,Lower priority. Rating 3.9. Queue for Wave 3. Website: truehotyoga.com is LIVE.
MODERATE,Exotic Motors Denver,Denver,Auto,3.8,120,NO,100,info@exoticmotorsdenver.com,exoticmotorsdenver.com,UNCHECKED,exoticmotorsdenver,https://instagram.com/exoticmotorsdenver,https://www.linkedin.com/company/exotic-motors-denver,NO,Lower priority. Rating 3.8. Queue for Wave 3.
MODERATE,Samadhi Yoga,Denver,Yoga,3.9,35,NO,100,flow@samadhiyoga.com,samadhiyoga.com,LIVE (200),samadhiyoga,https://instagram.com/samadhiyoga,https://www.linkedin.com/company/samadhi-yoga,NO,Lower priority. Rating 3.9. Queue for Wave 3. Website: samadhiyoga.com is LIVE.
MODERATE,Superior Auto Charlotte,Charlotte,Auto,3.8,150,NO,100,info@superiorautocharlott.com,superiorautocharlott.com,UNCHECKED,superiorautocharlotte,https://instagram.com/superiorautocharlotte,https://www.linkedin.com/company/superior-auto-charlotte,NO,Lower priority. Rating 3.8. Queue for Wave 3.
MODERATE,River Yoga Denver,Denver,Yoga,4.1,28,NO,95,flow@riveryogadenver.com,riveryogadenver.com,UNCHECKED,riveryogadenver,https://instagram.com/riveryogadenver,https://www.linkedin.com/company/river-yoga-denver,NO,Lower priority. Rating 4.1. Queue for Wave 3.
