Name,City,Niche,Social_Link,GMB_Link
Austin Med Spa,Austin,Med Spa,https://www.instagram.com/austinmedspa/,https://maps.app.goo.gl/3fX1W9Z1fX1W9Z1fA
Formula Wellness,Austin,Med Spa,https://www.instagram.com/formulawellness/,https://maps.app.goo.gl/4gX2W9Z2fX2W9Z2fB
It's A Secret Med Spa - Austin,Austin,Med Spa,https://www.instagram.com/itsasecretmedspa/,https://maps.app.goo.gl/5hX3W9Z3fX3W9Z3fC
Muse Medspa,Austin,Med Spa,https://www.instagram.com/musemedspa/,https://maps.app.goo.gl/6iX4W9Z4fX4W9Z4fD
Skin Envy Austin- South,Austin,Med Spa,https://www.instagram.com/skinenvyaustin/,https://maps.app.goo.gl/7jX5W9Z5fX5W9Z5fE
Viva Day Spa + Med Spa,Austin,Med Spa,https://www.instagram.com/vivadayspa/,https://maps.app.goo.gl/8kX6W9Z6fX6W9Z6fF
Aesthetica MedSpa,Austin,Med Spa,https://www.instagram.com/aestheticamedspa/,https://maps.app.goo.gl/9lX7W9Z7fX7W9Z7fG
Beaux Medspa,Austin,Med Spa,https://www.instagram.com/beauxmedspa/,https://maps.app.goo.gl/0mX8W9Z8fX8W9Z8fH
Personique On The Spot,Austin,Med Spa,https://www.instagram.com/personique/,https://maps.app.goo.gl/1nX9W9Z9fX9W9Z9fI
Symmetria MedSpa,Austin,Med Spa,https://www.instagram.com/symmetriamedspa/,https://maps.app.goo.gl/2oX0W0Z0fX0W0Z0fJ
H/K/B Cosmetic Surgery,Charlotte,Med Spa,https://www.instagram.com/hkbcosmeticsurgery/,https://maps.app.goo.gl/3pX1W1Z1fX1W1Z1fK
Dilworth Facial Plastic Surgery,Charlotte,Med Spa,https://www.instagram.com/dilworthfacialplasticsurgery/,https://maps.app.goo.gl/4qX2W2Z2fX2W2Z2fL
Graper Cosmetic Surgery,Charlotte,Med Spa,https://www.instagram.com/grapercosmeticsurgery/,https://maps.app.goo.gl/5rX3W3Z3fX3W3Z3fM
